"Organization Name","Address","City","State","Postcode","Main Phone #","Discipline","Council District","Community Board","Borough","Latitude","Longitude","Census Tract","BIN","BBL","NTA"
"4heads, Inc.","1022 Pacific St.","Brooklyn","NY","11238","(412) 956-3330","Visual Arts","Brooklyn Council District #35","Brooklyn Community Board #8","Brooklyn","40.67922","-73.959415","305","3027736","3011330044","BK0802"
"52nd Street Project, Inc.","789 Tenth Avenue","New York","NY","10019","(212) 333-5252","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.766661","-73.990365","13501","1087777","1010817502","MN0402"
"826NYC, Inc.","372 Fifth Avenue","Brooklyn","NY","11215","(718) 499-9884","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.671365","-73.984492","137","3021351","3009870042","BK0602"
"Aaccapella Light Sound Organization Plus","851A Prospect Avenue","Bronx","NY","10459","(646) 453-3535","Multi-Discipline, Non-Perform",,"Brooklyn Community Board #2","Brooklyn",,,,,,
"AAMC Foundation","174 East 80th Street","New York","NY","10075","(646) 405-8057","Visual Arts","Manhattan Council District #5","Manhattan Community Board #8","Brooklyn",,,,,,
"ABAKUA Afro-Latin Dance Company","250 9th Street","Brooklyn","NY","11215","(917) 570-6089","Dance","Brooklyn Council District #38","Brooklyn Community Board #6","Manhattan",,,,,,
"ABC Cooperation","545 West 30th Street","New York","NY","10001","(212) 232-4567","Architecture/Design","Bronx Council District #11",,"Manhattan","40.753017","-74.003227","9903","1089411","1007027502","MN0401"
"ABC No Rio","107 Suffolk Street","New York","NY","10002","(212) 254-3697","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","MN0302"
"A Better Jamaica, Inc.","114-73 178th St","Jamaica","NY","11434","(718) 657-2605","Film/Video/Audio","Queens Council District #27","Queens Community Board #12","Queens","40.693113","-73.771003","424","4219917","4103120056","QN1205"
"Abingdon Theatre Company","31-57 31st St, Unit 617","Astoria","NY","11106","(212) 868-2055","Theater","Manhattan Council District #3","Queens Community Board #1","Queens","40.763038","-73.924507","61","4596062","4006137502","QN0103"
"A Blade of Grass Fund","487 9th Street, #4","New York","NY","11215","(646) 358-1164","Visual Arts","Manhattan Council District #3","Manhattan Community Board #5","Brooklyn","40.666155","-73.980041","153","3025895","3010907504","BK0602"
"Abraham.In.Motion, Inc.","219 West 19th Street","New York","NY","10011","(212) 691-6500","Dance","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.74212","-73.998546","87","1013977","1007697506","MN0401"
"Abraham Lincoln Brigade Archives","239 W 14th street","New York","NY","10011","(212) 674-5398","Humanities","Manhattan Council District #2","Manhattan Community Board #4","Manhattan","40.739066","-74.000873","81","1013718","1007640018","MN0401"
"AbunDance Academy of the Arts, Inc.","90 Sullivan Place","Brooklyn","NY","11225","(347) 788-1069","Multi-Discipline, Performing","Brooklyn Council District #40","Brooklyn Community Board #9","Brooklyn","40.664222","-73.958544","327","3034459","3013060042","BK0902"
"Abundant Waters, Inc.","400 W.43rd St. #36G","New York","NY","10036","(212) 564-2589","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.759302","-73.992636","12102","1083745","1010520001","MN0402"
"Academy of American Poets","75 Maiden Ln","New York","NY","10038","(212) 274-0343","Literature","Manhattan Council District #3","Manhattan Community Board #1","Manhattan","40.707657","-74.007758","1502","1001112","1000680011","MN0101"
"Academy of Bosnia and Herzegovina, Inc.","55-23 31st Avenue","Woodside","NY","11377","(214) 597-2789","Film/Video/Audio","Queens Council District #22","Queens Community Board #1","Queens","40.757194","-73.905506","295","4431053","4011110001","QN0104"
"Access Theater","380 Broadway Fourth Floor","New York","NY","10013","(212) 966-1047","Theater","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.718112","-74.002958","31","1002317","1001950001","MN0102"
"ACMP Associated Chamber Music Players, Inc.","1133 Broadway, Suite 810","New York","NY","10010","(212) 645-7424","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.743523","-73.989073","58","1015625","1008270049","MN0501"
"ACTIONPLAY INCORPORATED","227 Clermont Ave. #3","Brooklyn","NY","11205","(844) 228-7529","Film/Video/Audio","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.690694","-73.970359","183","3058562","3020920017","BK0203"
"Actors' Fund of America","729 7th Ave","New York","NY","10019","(212) 221-7300","Multi-Discipline, Performing","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.760103","-73.983973","125","1022699","1010017501","MN0502"
"Actors Center, Inc.","520 8th Avenue","New York","NY","10018",,,,"Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Actors Company Theatre","900 Broadway, Suite 905","New York","NY","10003","(212) 645-8228","Theater","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.739109","-73.989773","52","1016184","1008480061","MN0501"
"Actors Theatre Workshop, Inc.","145 West 28th Street","New York","NY","10001","(212) 947-1386","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.746602","-73.991829","95","1015100","1008040011","MN0501"
"AENY - SPANISH ARTISTS IN NEW YORK INC.","239 West 14th St","New York","NY","10011","(914) 500-5942","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.739066","-74.000873","81","1013718","1007640018","MN0401"
"AFC New York, Inc.","20 Jay Street","Brooklyn","NY","11201","(718) 753-3464","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #34","Brooklyn Community Board #3","Brooklyn","40.704313","-73.986587","21","3000010","3000190001","BK0202"
"African American Women In Cinema","2006 Westchester Avenue","Parkchester","NY","10462","(347) 310-3445","Other","Bronx Council District #15","Bronx Community Board #12","Bronx","40.833615","-73.857136","92","2026267","2038050001","BX0903"
"African Cultural Center, Inc.","1120 Avenue of the Americas","New York City","NY","10036","(646) 289-1877","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.755651","-73.983516","96","1034202","1012590001","MN0502"
"African Diaspora Film Festival","535 Cathedral Parkway St 14B","New York","NY","10025","(212) 864-1760","Film/Video/Audio","Manhattan Council District #8","Manhattan Community Board #9","Manhattan","40.803795","-73.965797","199","1056904","1018820008","MN0901"
"African Film Festival, Inc.","154 West 18th Street, Suite 2A","New York","NY","10011","(212) 352-1720","Film/Video/Audio","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.740493","-73.996547","81","1014671","1007930067","MN0401"
"African Peach Arts Coalition Inc, (APAC)","15 Louis Pl","Brooklyn","NY","11233","(678) 558-9339",,,"Brooklyn Community Board #3","Brooklyn","40.677353","-73.917329","301","3042406","3015610011","BK1601"
"African Services Committee, Inc.","429 W 127th Street","New York","NY","10027","(212) 222-3882","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.813002","-73.953849","21303","1084104","1019670060","MN0902"
"African Voices Communications, Inc.","325 Lafayette Avenue, CF Suite","Brooklyn","NY","11238","(212) 865-2982","Literature","Manhattan Council District #7","Brooklyn Community Board #2","Brooklyn","40.688594","-73.962568","193","3055380","3019337501","BK0204"
"Afrikan Poetry Theatre, Inc.","176-03 Jamaica Ave.","Jamaica","NY","11432","(516) 602-5020","Multi-Discipl, Perf & Non-Perf","Queens Council District #27","Queens Community Board #12","Queens","40.707941","-73.784233","468","4209975","4098120008","QN1201"
"Afro-Asian, Inc.","107 Suffolk Street #213-A","New York,  NY","NY","10002","(212) 253-2280","Music","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","MN0302"
"Afro Brazil Arts","107 Suffolk Street #307","New York","NY","10002","(646) 363-8417","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","MN0302"
"Afro-Heritage Venture","901 Drew Street suite 222","Brooklyn","NY","11208","(718) 510-5575","Folk Arts","Brooklyn Council District #42","Brooklyn Community Board #5","Brooklyn","40.667414","-73.860358","1220","3323063","3045167501","BK0505"
"Afro-Latin Jazz Alliance of New York, Inc.","215 East 99th Street","New York","NY","10029","(646) 355-8170","Music","Brooklyn Council District #38","Manhattan Community Board #11","Manhattan","40.786963","-73.947537","164","1052383","1016490009","MN1101"
"Afrolatin Project, Inc.","11325 Seaview Ave","Brooklyn","NY","11239","(718) 414-5035","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #42","Brooklyn Community Board #5","Brooklyn","40.644788","-73.877046","105801","3343607","3044520200","BK0504"
"After School Rocks, Inc.","187-08 Union Turnpike","Fresh Meadows","NY","11366","(718) 454-0100","Music","Queens Council District #26","Queens Community Board #9","Queens","40.728972","-73.781866","1277","4156126","4072560114","QN0804"
"A Gathering of the Tribes","293 Troutman St Apt.","Brooklyn","NY","11237","(212) 674-8262","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",,,,,,
"AGM Theater Company, Inc.","130 Malcolm X Blvd","New York","NY","10026","(917) 399-6964","Theater","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.802359","-73.949425","190","1085936","1016007501","MN1001"
"Agudath Israel of America Community Services, Inc.","42 Broadway, 14th Floor","New York","NY","10004","(212) 797-9000","Humanities","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.70627","-74.012909","9","1000812","1000220020","MN0101"
"AHHABROADWAY INC","4558 Broadway, Unit 736","New York","NY","10040","(212) 942-1214","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.858811","-73.931531","283","1064061","1021700103","MN1202"
"AHL Foundation, Inc.","2605 Frederick Douglass Blvd","New York","NY","10030","(646) 590-2900","Visual Arts","Manhattan Council District #3","Manhattan Community Board #9","Manhattan","40.81888","-73.94482","22102","1088730","1020417503","MN1002"
"Aims of Modzawe, Inc.","187-40 Quencer Road","St. Albans","NY","11412","(347) 231-2595","Dance",,"Queens Community Board #12","Queens","40.695966","-73.767423","398","4221355","4104010119","QN1205"
"Aks Chorale, Inc.","456 Riverside Drive Apt 7B","New York","NY","10027","(914) 960-9596","Music","Manhattan Council District #4","Manhattan Community Board #9","Manhattan","40.810012","-73.964949","205","1059829","1019900052","MN0901"
"AKTINA Productions, Inc.","21-02 28th Avenue","Astoria","NY","11102","(718) 545-1151","Music","Queens Council District #22","Queens Community Board #1","Queens","40.771024","-73.926599","71","4006203","4005450028","QN0103"
"Alarm Will Sound, Inc.","45 Tudor City Pl","New York","NY","10017","(773) 234-2846","Music","Manhattan Council District #1","Manhattan Community Board #6","Manhattan","40.749294","-73.970246","88","1038660","1013350022","MN0603"
"Albanian Artists Association","169 east 101st street","New York","NY","10029","(212) 945-8268","Film/Video/Audio","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.788786","-73.947936","166","1051843","1016290024","MN1101"
"Alchemy Theatre Company of Manhattan","412 W. 42nd Street","New York","NY","10036","(212) 967-0901","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.758682","-73.993254","115","1026330","1010510029","MN0402"
"Alexander and Buono Worldwide Inc","244 Madison Ave","New York City","NY","10016","(212) 947-4503",,,"Manhattan Community Board #6","Manhattan","40.750131","-73.981247","82","1017221","1008670057","MN0502"
"Alianza Dominicana, Inc.","2410 Amsterdam Ave","New York","NY","10033","(212) 740-1960","Folk Arts","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.847177","-73.93159","261","1063604","1021520048","MN1201"
"Alison Cook Beatty Dance, Inc.","529 E 85th St","New York","NY","10028","(917) 620-2057","Dance","Manhattan Council District #5","Manhattan Community Board #10","Manhattan","40.774905","-73.946792","14401","1051244","1015820015","MN0803"
"Alkemie Early Music Ensemble, Inc.","2101 Bedford Ave","Brooklyn","NY","11226","(929) 445-8613","Music","Brooklyn Council District #40","Brooklyn Community Board #17","Brooklyn","40.653121","-73.956079","822","3116642","3050840010","BK1701"
"Alley Pond Environmental Center, Inc.","229-10 Northern Blvd","Douglaston","NY","11362","(718) 229-4000","Science","Queens Council District #19","Queens Community Board #8","Queens","40.763261","-73.752373","138502","4000000","4075700001","QN1191"
"All Faiths Restoration & Beautification Program, Inc","67-29 Metropolitan Avenue","Queens","NY","11731","(718) 821-1750",,,"Queens Community Board #5","Queens","40.712297","-73.889067","60701","4062578","4027900001","QN0571"
"All For One Theater Festival, Inc.","1650 Broadway","New York","NY","10019","(212) 398-7180","Theater","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.761964","-73.983684","131","1024811","1010220035","MN0502"
"Alliance for Inclusion in the Arts","1560 Broadway, Suite 1600","New York","NY","10036","(212) 730-4750","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.75886","-73.984843","125","1022661","1009990003","MN0502"
"Alliance for the Development of Theatre Artists, Inc.","520 Eighth Ave","New York","NY","10018","(212) 447-6309","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Alliance for Young Artists and Writers, Inc.","557 Broadway","New York","NY","10012","(212) 343-7702","Multi-Discipline, Non-Perform","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.723835","-73.998138","49","1088114","1004980009","MN0201"
"Alliance of Queens Artists, Inc.","99-10 Metropolitan Avenue","Forest Hills","NY","11375","(718) 520-9842","Visual Arts","Queens Council District #29",,"Queens","40.71086","-73.853439","645","4095202","4038940035","QN0602"
"Alliance of Resident Theatres / New York, Inc.","520 8th Avenue","New York","NY","10018","(212) 244-6667","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Allied Productions, Inc.","368 E 8th St SFW","New York","NY","10009","(212) 529-8815","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.724319","-73.977549","2602","1004506","1003770016","MN0303"
"All Out Arts, Inc.","404 East 66th Street apt 11g","New York","NY","10065","(917) 733-2366","Multi-Discipline, Performing","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.763816","-73.958385","116","1083271","1014607501","MN0801"
"Alpha Omega 1-7 Theatrical Dance Company, Inc.","70 East 4th Street","New York","NY","10003","(212) 749-0095","Dance","Manhattan Council District #6","Manhattan Community Board #3","Manhattan","40.726563","-73.990331","38","1077966","1004590021","MN0303"
"Alpha Workshops, Inc.","322 3rd Avenue","Brooklyn","NY","11215","(212) 594-7320","Architecture/Design","Manhattan Council District #3","Brooklyn Community Board #6","Brooklyn","40.676204","-73.987079","11901","3020760","3009670001","BK0601"
"Alvin Ailey Dance Foundation, Inc.","The Joan Weill Center for Dance","New York","NY","10019","(212) 405-9035","Dance","Manhattan Council District #6","Manhattan Community Board #4","Manhattan",,,,,,
"Alwan Foundation","16 Beaver Street","New York","NY","10004","(212) 967-4318","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.704983","-74.012375","9","1000030","1000110007","MN0101"
"Amanda & James, Incorporated","94 Mercer Street","New York","NY","10012","(917) 842-3651",,,"Manhattan Community Board #2","Manhattan","40.723058","-73.999906","49","1083498","1004840001","MN0201"
"Amas Musical Theatre, Inc.","630 Ninth Avenue","New York","NY","10036","(212) 563-2565","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.760038","-73.991449","12101","1024982","1010350001","MN0402"
"Amaterasu Za, Inc.","139 Reade Street","New York","NY","10013","(917) 797-3519",,,"Manhattan Community Board #1","Manhattan","40.71641","-74.009718","21","1084396","1001407503","MN0102"
"Amaya's Bookreads Inc.","569 Academy St","New York","NY","10034","(917) 736-4311","Other","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.863263","-73.923027","291","1064720","1022180001","MN1203"
"American Academy of Dramatic Arts","120 Madison Ave","New York","NY","7307","(212) 686-9244","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.745402","-73.984691","74","1016957","1008600016","MN0501"
"American Bard Theater Company","4 E 27th Street, Unit 20077","New York","NY","10001","(347) 422-7309",,,"Manhattan Community Board #5","Manhattan","40.743909","-73.987402","56","1087263","1008567502","MN0501"
"American Bolero Dance Company, Inc.","42-24 9th Street","Long Island City","NY","11101","(718) 392-8888","Dance","Queens Council District #26","Queens Community Board #2","Queens","40.753508","-73.948837","1903","4005310","4004620001","QN0201"
"American Center for Musical Arts, Inc.","201 West 72nd Street, Suite 3 K","New York","NY","10023","(718) 680-1680","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.778954","-73.982412","159","1077846","1011647501","MN0701"
"American Classical Orchestra, Inc.","552 West End Avenue","New York","NY","10024","(212) 362-2727","Music","Manhattan Council District #7","Manhattan Community Board #7","Manhattan","40.789358","-73.977494","175","1033199","1012340061","MN0702"
"American Composers Orchestra","244 Fifth Avenue, Suite 1257","New York","NY","10001","(212) 977-8495","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.744521","-73.987427","58","1015690","1008290040","MN0501"
"American Dance Guild, Inc.","320 West 83rd Street, Apt. 7D","New York","NY","10024","(212) 874-6947","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.78727","-73.98012","171","1033808","1012450034","MN0702"
"American Dance Machine for the 21st Century Foundation, Inc.","45 East 80th Street","New York","NY","10075","(917) 570-0040","Dance","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.776857","-73.961258","142","1076323","1014927501","MN0802"
"American Documentary","20 Jay Street","Brooklyn","NY","11201","(212) 989-8121","Film/Video/Audio","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.704313","-73.986587","21","3000010","3000190001","BK0202"
"American Federation of Arts, Inc.","305 East 47th Street","New York","NY","10017","(212) 988-7700","Visual Arts","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.752862","-73.969548","90","1038906","1013407502","MN0604"
"American Folk Art Museum","2 Lincoln Square","New York","NY","10023","(212) 265-1040","Museum","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.773003","-73.980154","149","1028159","1011180001","MN0701"
"American Friends of Chicken Shed, Inc.","1441 Broadway","New York","NY","10018","(646) 569-5742",,,"Manhattan Community Board #5","Manhattan","40.754707","-73.986753","113","1022569","1009930055","MN0502"
"American Friends of the Ludwig Foundation of Cuba","4 West 43rd Street","New York","NY","10036","(212) 628-3494","Film/Video/Audio","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.754371","-73.980932","96","1034201","1012580042","MN0502"
"American Globe Theatre, Ltd.","145 West 46th Street","New York","NY","10036","(212) 869-9809","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.757946","-73.983547","125","1022665","1009990012","MN0502"
"American Indian Artists, Inc.","288 E 10th St","New York","NY","10009","(212) 598-0968","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.728102","-73.982862","34","1005912","1004370025","MN0303"
"American Indian Community House, Inc.","234 W 39th St","New York","NY","10018","(646) 575-3638","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #5","Manhattan","40.754595","-73.989457","113","1014487","1007880066","MN0502"
"American Institute of Architects","536 LaGuardia Place","New York","NY","10012","(212) 358-0640","Architecture/Design",,,"Manhattan","40.728575","-73.998532","65","1008642","1005370026","MN0202"
"American Institute of Graphic Arts","233 Broadway","New York","NY","10279","(212) 710-3125","Architecture/Design","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.712265","-74.007892","21","1087167","1001237501","MN0102"
"American Jewish Historical Society","15 West 16th Street","New York","NY","10011","(212) 294-6160","Humanities","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.737677","-73.993454","54","1080631","1008180027","MN0501"
"American Kennel Club Museum of the Dog","101 Park Avenue","New York","NY","10178","(212) 696-8244",,,"Manhattan Community Board #5","Manhattan","40.750992","-73.978485","80","1036144","1012950001","MN0603"
"American Latin Association of New York","14 West 170th st.","Bronx","NY","10452","(646) 260-3382","Multi-Discipl, Perf & Non-Perf",,"Brooklyn Community Board #2","Brooklyn",,,,,,
"American Lyric Theater Center, Inc.","1178 Broadway","New York","NY","10001","(646) 216-8298","Music","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.745309","-73.98852","76","1015727","1008300028","MN0501"
"American Museum of Natural History","Central Park West and 79th Street","New York","NY","10024","(212) 769-5000","Museum","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",,,,,,
"American Museum of the Moving Image","36-01 35th Avenue","Astoria","NY","11106","(718) 784-4520","Film/Video/Audio","Queens Council District #26","Queens Community Board #1","Queens","40.756206","-73.924377","57","4439074","4006440001","QN0103"
"American Numismatic Society","Broadway @ 155th Street","New York","NY","10032","(212) 571-4470",,,,"Manhattan",,,,,,
"American Opera/Musical Theatre Co Inc","175 W. 60th St","New York","NY","10023","(646) 352-1683","Multi-Discipline, Performing","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.770676","-73.98623","145","1088863","1011320021","MN0701"
"American Opera Projects, Inc.","138 S Oxford St","Brooklyn","NY","11217",,"Music","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","BK0203"
"American Performing Arts Collaborative, Inc.","6 Hancock Place","New York City","NY","10027","(212) 665-7716","Theater","Manhattan Council District #9","Manhattan Community Board #9","Manhattan","40.81029","-73.953685","20901","1059277","1019500056","MN0901"
"American Place Theatre, Inc.","630 Ninth Avenue","New York","NY","10036","(212) 594-4482","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.760038","-73.991449","12101","1024982","1010350001","MN0402"
"American Songbook Association Inc.","PO Box 1594","New York","NY","10025","(917) 913-6006","Multi-Discipline, Performing","Manhattan Council District #7","Manhattan Community Board #7","Manhattan",,,,,,
"American Story Project Theater Company, Inc.","412 Eighth Avenue","Manhattan","NY","10116","(914) 907-4041","Theater","Brooklyn Council District #39","Manhattan Community Board #5","Manhattan","40.750033","-73.995023","101","1014349","1007800075","MN0501"
"American Symphony Orchestra, Inc.","1330 Avenue of the Americas","New York","NY","10019","(212) 868-9276","Music","Manhattan Council District #4","Manhattan Community Board #4","Manhattan","40.762103","-73.978803","104","1034522","1012690001","MN0502"
"American Symphony Orchestra League","520 8th Avenue","New York","NY","10018","(646) 822-4039","Music","Manhattan Council District #6","Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"American Tap Dance Foundation, Inc.","154 Christopher Street #2B","New York","NY","10014","(646) 230-9564","Dance","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.73273","-74.008129","69","1010421","1006040033","MN0203"
"American Theatre of Harlem","138 S. Oxford Street","Brooklyn","NY","11217","(718) 857-2783","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #5","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","BK0203"
"American Theatre Wing","58 W 40th St","New York","NY","10018","(212) 765-0606","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.753183","-73.984184","84","1016058","1008410081","MN0502"
"American Turkish Society, Inc.","1460 Broadway","New York","NY","10036","(212) 583-7614","Film/Video/Audio","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.754946","-73.986161","113","1022573","1009947504","MN0502"
"American Vicarious, Inc.","200 6th St #3A","New York","NY","11215","(718) 701-6648","Multi-Discipline, Performing","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.67355","-73.990108","11901","3339454","3009910031","BK0601"
"America SCORES New York","520 8th Avenue","New York","NY","10031","(212) 868-9533","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Americas Society, Inc.","680 Park Avenue","New York","NY","10065","(212) 277-8334","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.768739","-73.965563","122","1041265","1013830033","MN0802"
"Amigos del Museo del Barrio","1230 Fifth Avenue","New York","NY","10029","(212) 831-7272","Visual Arts","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.793072","-73.951992","168","1051499","1016100001","MN1101"
"Amor Artis, Inc.","P.O. Box 97","New York","NY","10024","(646) 771-0393","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",,,,,,
"Amore Opera, Inc.","27 West 76th St. #2B","New York","NY","10023","(347) 948-4588","Multi-Discipline, Performing","Manhattan Council District #2","Manhattan Community Board #7","Manhattan","40.77943","-73.975534","161","1028809","1011290015","MN0702"
"Amos Eno Gallery, Inc.","191 Henry St.","Manhattan","NY","10002","(347) 670-3310","Visual Arts","Brooklyn Council District #34","Brooklyn Community Board #4","Brooklyn","40.694888","-73.994241","502","3001991","3002430022","BK0201"
"An Claidheamh Soluis, Inc.","726 11th Ave","New York","NY","10019","(212) 757-3318","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.76676","-73.993978","13501","1082277","1010800102","MN0402"
"ANDHOW! Theater Company Inc.","138 South Oxford Street","Brooklyn","NY","11217","(718) 398-3690","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Manhattan",,,,,,
"Angel Orensanz Foundation, Inc","172 Norfolk Street","New York","NY","10002","(212) 529-7194",,,,"Manhattan","40.721174","-73.985927","3001","1004329","1003550041","MN0302"
